"Spontaneous_deamination_of_5-methylcytosine"	"AID/APOBEC_family_of_cytidine_deaminases"	"Failure_of_DNA_double-strand_break-repair_by_homologous_recombination"	"Smoking"	"Unknown"	"Defective_DNA_mismatch_repair"	"Ultraviolet_light_exposure"	"Polymerase_activity"	"Alkylating_agents"	"Aristolochic_acid_exposure"	"Tobacco_chewing"
"TCGA-17-Z043-01A"	0	0	0	0.35736507042563	0.19169436132486	0.140548142278665	0	0	0	0	0
"TCGA-50-5942-01A"	0.114456753071118	0	0.299176168691179	0.359223612894088	0.10922854202933	0	0	0	0	0	0
"TCGA-50-6590-01A"	0	0.162371992391379	0	0.655704608721524	0	0.0685879907827848	0	0	0	0	0
"TCGA-05-4410-01A"	0	0.0610619173947586	0	0.776151925227462	0	0	0	0	0	0	0
"TCGA-55-A48Y-01A"	0.107697565969015	0.700473438010619	0	0	0	0	0.0665916959170453	0	0	0	0
"TCGA-75-5147-01A"	0.359922312710797	0.111608219151986	0.432134388997049	0	0	0	0	0	0	0	0
"TCGA-44-3396-01A"	0.173759075999267	0.343146716242364	0.0761493802134267	0.0735332840937059	0.176042348002915	0	0	0	0	0	0
"TCGA-93-A4JO-01A"	0	0.165492382577964	0	0	0.447629004667658	0.197071116979339	0.117502259502311	0	0	0	0
"TCGA-62-8395-01A"	0.310559944036536	0.1629939822115	0	0	0.0892245620049778	0.249702220877228	0.105155581562286	0	0	0	0
"TCGA-44-2662-01A"	0	0.538967555570339	0	0.169032625831026	0.107796651162594	0	0	0	0	0	0
"TCGA-78-7155-01A"	0	0	0	0.797972973021235	0	0	0	0	0	0	0
"TCGA-50-5931-01A"	0	0	0.0710701130928872	0.604721736073452	0.0739883894550109	0.110682898701418	0	0	0	0	0
"TCGA-69-7760-01A"	0.179003005727652	0.0747908597254329	0	0.243219199944883	0.105907769051224	0.266648736374706	0	0	0	0	0
"TCGA-44-A47G-01A"	0.163495647621307	0.121916297607095	0	0.225541614563423	0.186049922243248	0	0.155242851078914	0	0	0	0
"TCGA-17-Z057-01A"	0.0862375473967851	0.39367224290563	0.16115517812147	0.0793525140505342	0.0772501016795547	0	0	0	0	0	0
"TCGA-55-8301-01A"	0	0.0690641768461657	0	0.537874326849278	0.116295559452543	0.142661661715627	0	0	0	0	0
"TCGA-86-8669-01A"	0.166900579871703	0	0.131069284383951	0.38728199404262	0.0761070278433973	0	0	0	0	0.0702112338669564	0
"TCGA-55-7724-01A"	0.149522961831259	0.145627288004599	0	0.23291272612694	0.272363866235164	0	0	0	0	0	0
"TCGA-MN-A4N5-01A"	0	0.0619847253313998	0	0.627970754431655	0.0838929373426066	0.0619432110073691	0	0	0	0	0
"TCGA-50-5072-01A"	0.103983916690185	0.0801613892005808	0	0.569439183764721	0	0	0.0618004659382521	0	0	0	0
"TCGA-50-8460-01A"	0.34553109786132	0.113922542158295	0	0	0.445619523414888	0	0	0	0	0	0
"TCGA-75-6207-01A"	0.142718418660387	0.170171452752051	0	0	0.362629632449906	0.131094800506473	0.0909159065219804	0	0	0	0
"TCGA-05-4405-01A"	0	0	0	0.713193424005559	0	0.128083277081486	0.0627155348258971	0	0	0	0
"TCGA-97-7941-01A"	0.0749284001901672	0.103294160382906	0	0.614525116149658	0	0.157640179664092	0	0	0	0	0
"TCGA-38-4625-01A"	0	0.160362768259629	0	0.821967826613597	0	0	0	0	0	0	0
"TCGA-78-7160-01A"	0.185997068365742	0	0.180228607412189	0	0.318820969372488	0	0	0	0.115870822614958	0	0
"TCGA-55-1596-01A"	0	0	0.0897073917934581	0.317147417248719	0.296438037911755	0.0909481741699501	0.0773507938595712	0	0	0	0
"TCGA-44-7669-01A"	0	0	0	0.588985219780346	0.11428371952262	0.0625231941514065	0	0	0	0	0
"TCGA-55-6983-01A"	0	0	0	0.48945145028293	0	0.197903414704256	0	0	0	0.0748150409974403	0
"TCGA-99-AA5R-01A"	0	0	0	0.770316712549501	0	0	0	0	0	0.0878834496565092	0
"TCGA-67-6216-01A"	0.134593968596531	0.167527112681373	0	0	0.466366535292662	0	0.134239082260815	0	0	0	0
"TCGA-55-6971-01A"	0	0.0612607767208657	0	0.200550205246038	0.185547665248445	0.164793574315633	0	0	0	0.090403849337229	0.160836180974122
"TCGA-L9-A743-01A"	0	0.298146885555473	0	0.21617835468983	0	0.100129795342726	0	0.100599371449922	0	0.0785570259213989	0.145228030591401
"TCGA-86-8076-01A"	0.307325681202348	0.195381856246574	0	0.214480568752201	0	0	0.104447669303984	0	0	0	0
"TCGA-91-6849-01A"	0	0	0.173069210024468	0.538217799985616	0	0	0	0	0	0	0.116375197801368
"TCGA-05-4382-01A"	0	0	0	0.878275706433622	0	0	0	0	0	0	0
"TCGA-55-8204-01A"	0	0.246685479878357	0.102075102004298	0	0.0881085773331847	0.114295835082697	0.147471699522393	0	0	0	0.213216877836056
"TCGA-86-A4JF-01A"	0.0877602715902539	0	0	0.124680319716542	0.221739370866328	0.422153498654713	0	0	0	0	0
"TCGA-49-4501-01A"	0.468030373211183	0.150468691195912	0	0	0	0.281509509489876	0	0	0	0	0
"TCGA-55-6968-01A"	0	0.565102683434246	0.081511217596436	0	0.0856131144387674	0	0.0818392430507411	0	0	0	0
"TCGA-91-6847-01A"	0.440844684145111	0.0963608389628595	0.194878518226504	0	0.0641668981665346	0	0	0	0	0	0
"TCGA-86-7955-01A"	0.0732115747420292	0	0.110333063051579	0.448158115192788	0.185502158912182	0	0	0	0	0	0
"TCGA-55-7911-01A"	0.0860235407342485	0	0	0.57768282995347	0.0907984003926613	0	0	0	0	0	0
"TCGA-MP-A4T2-01A"	0	0.148952159582033	0.243164455005298	0.091406505880408	0.223930065942184	0.0970128775992268	0.113329462497162	0	0	0	0
"TCGA-86-7953-01A"	0	0.0969728721902407	0.180254116386298	0	0.169826645446733	0.15835586657973	0	0	0	0	0
"TCGA-55-8207-01A"	0	0	0	0.621956920768448	0.131922805710282	0.128690857320266	0	0	0	0	0
"TCGA-MP-A4T8-01A"	0.152359163206103	0	0	0.258021167396254	0.442444421048643	0	0	0	0	0	0
"TCGA-78-7166-01A"	0	0	0	0.731904198426682	0	0.185161887098205	0	0	0	0	0
"TCGA-75-5146-01A"	0	0	0	0.600060968315107	0.0672224815837806	0	0	0	0	0	0.151444618100273
"TCGA-17-Z048-01A"	0.448858725603131	0.0759821737835119	0.128446783435801	0	0.192047514333051	0.0879986473422634	0	0.0666661555022426	0	0	0
"TCGA-49-4510-01A"	0	0	0.255552124086465	0.147014259611191	0.393079075483421	0	0	0	0	0	0
"TCGA-78-7539-01A"	0.112080673774351	0.425255675829326	0	0.0994827511735376	0.130032945693693	0	0.0842682663350375	0	0	0	0
"TCGA-55-6981-01A"	0.431250731073865	0.0827805103098322	0.131406341960978	0	0	0.164271703251736	0.0840726633581103	0	0	0	0
"TCGA-64-5775-01A"	0	0	0	0.678020347730237	0.148628756737279	0.0757363701470889	0	0	0	0	0
"TCGA-55-6712-01A"	0.100598725185479	0.454884047583834	0.0754431772374068	0.0652746566760753	0.0908580879195332	0.0967410865804614	0	0	0	0	0
"TCGA-55-8087-01A"	0.353710138697784	0.0736509954181568	0	0	0	0.279424458443205	0.212167768633428	0.0810466388074259	0	0	0
"TCGA-05-5428-01A"	0	0.271758355491385	0	0.620920332837743	0	0.0746100195035757	0	0	0	0	0
"TCGA-05-4425-01A"	0.900017190823642	0	0	0	0	0.0645128654794004	0	0	0	0	0
"TCGA-55-A48Z-01A"	0	0	0	0.0683493984892004	0.185465267193776	0.329523733341752	0	0	0	0	0.171413061680637
"TCGA-55-A493-01A"	0	0.133287915623282	0	0.508780460269112	0.170819344319143	0.0662945281713837	0	0	0	0	0
"TCGA-97-A4LX-01A"	0	0	0	0.256009815225468	0.421566902560005	0	0	0	0	0	0.065246698208348
"TCGA-75-6206-01A"	0	0.0810677280430426	0	0.607596891525024	0.0926713358330761	0	0.0746534565375769	0	0	0	0
"TCGA-55-7914-01A"	0.143791251933994	0.0730082073048423	0	0.422424044875279	0.074274648693838	0.109078171906923	0.0687280344280141	0	0	0	0
"TCGA-97-A4M7-01A"	0	0	0	0.848070913245272	0	0.0679809533908135	0	0	0	0	0
"TCGA-L9-A5IP-01A"	0	0	0	0.680192646908925	0.0796109894481816	0	0	0	0	0	0
"TCGA-05-5423-01A"	0.123607588123872	0.0603713499892004	0	0.368251325731067	0.284721859952193	0.111392932088916	0	0	0	0	0
"TCGA-44-6145-01A"	0	0	0	0.95130420707426	0	0	0	0	0	0	0
"TCGA-67-6217-01A"	0	0	0	0.748893133861458	0	0.114269363036493	0	0	0	0	0
"TCGA-91-6836-01A"	0	0	0	0.745899400580927	0	0.0995428839483808	0	0	0	0	0
"TCGA-44-7671-01A"	0	0	0	0.519934052086046	0.215405304802129	0.0803413475136966	0	0	0	0	0
"TCGA-S2-AA1A-01A"	0	0	0	0.747480752955585	0.143593384555987	0	0	0	0	0	0
"TCGA-73-7499-01A"	0.240268002178045	0.207487475628395	0.146281168879788	0	0.211647557769686	0	0	0	0.0619156298889308	0	0
"TCGA-17-Z047-01A"	0.29948311860418	0.0961628046125175	0.411203157374539	0	0	0.0770172859543513	0	0	0	0	0
"TCGA-49-AARN-01A"	0	0.165107985173481	0	0.278631431408744	0.442258140357998	0	0	0	0	0	0
"TCGA-L9-A50W-01A"	0.223783810548869	0.193210284022895	0.206852555195819	0	0.0754819415589214	0	0	0	0	0	0.104488539658088
"TCGA-17-Z054-01A"	0	0	0.0793377514135552	0.152053013476674	0.126626418858097	0.464404841388154	0.17757795742139	0	0	0	0
"TCGA-62-A46U-01A"	0.191807219229598	0.0739935481777072	0	0.157209564703769	0	0.411013489093896	0	0	0	0	0
"TCGA-05-4433-01A"	0.684144975691838	0	0	0	0	0.30243097271009	0	0	0	0	0
"TCGA-49-6761-01A"	0	0.339915123403511	0	0.393241399707291	0	0.17597427723817	0	0	0	0	0
"TCGA-86-7711-01A"	0	0.184409773249344	0.0634189198848986	0.419125799840817	0	0.152486726198682	0	0	0	0	0
"TCGA-50-5068-01A"	0.269513008938866	0	0.061646259348831	0.0691093623696179	0.35003258545632	0.133707413113946	0	0.0617862676235166	0	0	0
"TCGA-67-4679-01B"	0	0	0	0.709315258312656	0.18963454201424	0.0683965315481492	0	0	0	0	0
"TCGA-86-A4P7-01A"	0.284698282929722	0.297661925640036	0.142629385713739	0	0.197128060761504	0	0	0	0	0	0
"TCGA-44-2665-01A"	0	0.312535877683194	0.146603968077003	0	0.230271831961348	0.183287075827092	0	0	0	0	0
"TCGA-44-3919-01A"	0	0.189957550338339	0.189737461454061	0	0.153208950456575	0.0991617852662744	0.13772952532931	0.0699376028187707	0	0	0
"TCGA-55-6987-01A"	0	0.309669638536496	0	0.24430201587201	0.224483924594436	0	0	0	0	0	0
"TCGA-91-6829-01A"	0	0	0	0.567765117343811	0.259230732807296	0	0	0	0	0	0
"TCGA-86-8055-01A"	0.548101249219141	0	0.289206936668275	0	0.141875287175777	0	0	0	0	0	0
"TCGA-05-4396-01A"	0	0	0	0.509915728989208	0.158439179469894	0	0	0	0.0669671682763996	0	0
"TCGA-17-Z055-01A"	0	0	0	0.789154086596232	0.0742734526475523	0.0604637005518056	0	0	0	0	0
"TCGA-62-8399-01A"	0	0.323996853347578	0	0.501192970552943	0	0.0838657154655831	0	0	0	0	0
"TCGA-86-8358-01A"	0	0	0	0.772195162090487	0	0.0853982275661913	0	0	0	0	0
"TCGA-62-8397-01A"	0.371953966756775	0.0654487116727671	0	0	0.350862404048709	0.0859620551224002	0	0	0.0726061601683453	0	0
"TCGA-MP-A4TK-01A"	0	0.0855821691115756	0	0.755798164558941	0	0	0	0	0	0	0
"TCGA-44-7667-01A"	0.117458202945088	0	0.0637639400124597	0.548412043654599	0.204237277147815	0	0	0	0	0	0
"TCGA-17-Z007-01A"	0.53403883647722	0	0	0	0.24260319765013	0.082516134347688	0	0	0	0.0885330866650822	0
"TCGA-97-8174-01A"	0.0912697524210044	0.0835872577066845	0	0.281636323520714	0.359324728807784	0.129718145177391	0	0	0	0	0
"TCGA-44-A4SS-01A"	0	0	0.0767429684336956	0.628297504251624	0	0	0	0	0	0	0
"TCGA-NJ-A55O-01A"	0	0	0	0.750620101525184	0.108978291625922	0	0	0	0	0	0
"TCGA-78-7159-01A"	0	0	0	0.577470842132701	0.10576826189676	0.14360542713067	0	0	0	0.068576950843809	0
"TCGA-78-7535-01A"	0	0	0.0969729036452976	0.405422286056645	0.332649930110181	0.0744685623071521	0	0	0	0	0
"TCGA-91-8499-01A"	0.0689800470600809	0.195768946607498	0	0.389506340477169	0.106385774350947	0	0	0	0	0	0
"TCGA-17-Z015-01A"	0.165669787979225	0	0	0.68405831119037	0	0.0750204662606547	0	0	0	0	0
"TCGA-17-Z005-01A"	0.0652108522139919	0	0	0.309799739707913	0.255140092520223	0	0	0	0	0	0.14773611659182
"TCGA-44-5644-01A"	0	0	0	0.64409555123242	0.099125882990395	0.0679734860373956	0	0	0	0	0
"TCGA-55-8206-01A"	0.305223862457179	0.153009590580858	0	0	0.253815207264369	0.189582815060274	0	0	0	0	0
"TCGA-55-8614-01A"	0.238573253163418	0.0821288231278112	0	0.144808493976119	0.326433120152245	0	0	0	0	0	0
"TCGA-55-7910-01A"	0	0	0	0.603846525954048	0.168777410259303	0.161140153913799	0	0	0	0	0
"TCGA-17-Z053-01A"	0.0685666501816756	0.0707821667860338	0.137620134974794	0.376302731739448	0.064135680121206	0.147038189057805	0	0	0	0	0
"TCGA-73-4668-01A"	0	0	0	0.707625030413912	0.0707086197589543	0.0601647683205475	0	0	0	0.0717456545513525	0
"TCGA-91-6835-01A"	0.171254915653416	0	0.342423973922645	0.139934225405723	0	0	0.060182527769059	0	0	0	0
"TCGA-69-7978-01A"	0.0703756199418853	0.243334887674019	0	0.605003404381872	0	0	0	0	0	0	0
"TCGA-44-4112-01A"	0	0.16178141148246	0	0.711173425228472	0	0	0	0	0	0	0
"TCGA-73-4675-01A"	0.133150585254117	0	0	0	0.269977993344255	0.218184697907322	0	0	0	0	0
"TCGA-50-5933-01A"	0.0761556780160991	0	0	0.564363144252321	0.086278814545292	0	0	0	0	0	0
"TCGA-50-6592-01A"	0.0744025485626373	0.0747586975571933	0.127449432652892	0.188433227674134	0.193879216301233	0.069558980525028	0	0	0	0	0
"TCGA-44-6146-01A"	0	0	0	0	0.37158833352561	0.224313185934245	0.344743719221467	0	0	0	0
"TCGA-05-4432-01A"	0	0	0	0.715004306996405	0.0794019520759421	0.0827606319899894	0	0	0	0	0
"TCGA-62-8402-01A"	0.535433038949219	0	0	0	0.287980432799566	0	0.0934362285443397	0	0	0	0
"TCGA-35-4123-01A"	0	0	0	0.76437757071437	0.0975966195107972	0.0829344183711768	0	0	0	0	0
"TCGA-49-AAR2-01A"	0	0	0	0.764836471561956	0.132697982296005	0	0	0	0	0	0
"TCGA-50-5066-01A"	0	0.0600884489901039	0.188693037098152	0.589072434780105	0.0676241484463837	0	0	0	0	0	0
"TCGA-49-AARO-01A"	0	0	0	0.868519960501007	0.0769076062428577	0	0	0	0	0	0
"TCGA-17-Z002-01A"	0	0.282211408425631	0	0	0	0	0.402723125548481	0	0	0	0
"TCGA-75-6211-01A"	0.0613521923262867	0	0	0.776128238036685	0	0	0	0	0	0	0
"TCGA-55-8085-01A"	0.157750382624765	0.348395343494971	0	0.264517986333846	0.139884494931847	0	0	0	0	0	0
"TCGA-80-5607-01A"	0	0.764927046039623	0	0	0.0924531178907272	0	0	0	0	0	0
"TCGA-55-7728-01A"	0	0	0	0.693323081276488	0	0.229972098420801	0	0	0	0	0
"TCGA-64-5815-01A"	0.15413008962429	0	0	0.65506667715597	0.0734094399385466	0	0	0	0	0	0
"TCGA-NJ-A4YI-01A"	0	0	0	0.533177872557741	0.215700819931779	0.146185070829388	0	0	0	0	0
"TCGA-55-7284-01B"	0.608683645835463	0	0	0	0.0996474382246724	0.0748900619471624	0.144279862701423	0	0	0	0
"TCGA-78-7149-01A"	0	0.415535479694108	0	0.083309621859162	0.279872524543396	0.125443507529563	0	0	0	0	0
"TCGA-86-8674-01A"	0	0.0839468257046192	0	0.745273967475273	0.0842854201204919	0.076257603354752	0	0	0	0	0
"TCGA-86-6851-01A"	0	0.0891159623872099	0	0.599861782865805	0.185816751902598	0	0	0	0	0	0
"TCGA-86-8673-01A"	0	0	0	0.706285852872708	0.11863874018047	0.0685285859085797	0	0	0	0	0
"TCGA-49-4507-01A"	0.168967294177663	0.142242930966569	0.0796798157741204	0.247617592251395	0.198544358336735	0	0.0682102513036901	0	0	0.0638420689404523	0
"TCGA-L9-A443-01A"	0	0	0.130879752012301	0.673632549449035	0.0887073947835591	0	0	0	0	0	0
"TCGA-55-1592-01A"	0	0	0.167430942985462	0.351963561288345	0.0999955564936505	0.0725948006525349	0	0	0	0	0
"TCGA-78-7158-01A"	0.0647441387741218	0.0763711978452624	0	0.55263560350302	0.0732170091895778	0.0969616371431229	0	0	0	0	0
"TCGA-55-A4DF-01A"	0	0.521910642410168	0.0733289965103912	0.0738271876221996	0.0952338227007107	0	0.125167350774633	0	0	0	0
"TCGA-55-8616-01A"	0	0	0	0.654668024960901	0.153857441505807	0	0	0	0	0	0
"TCGA-17-Z004-01A"	0.104041032135481	0	0	0	0.154096855315141	0.588169543638333	0	0	0	0.109288282805106	0
"TCGA-69-A59K-01A"	0	0	0	0.76605158417571	0	0.0836475912213969	0	0	0	0	0
"TCGA-78-7162-01A"	0	0.09259261808762	0	0.327413236754685	0.209403245626874	0	0.0962395243066363	0	0	0	0
"TCGA-05-4434-01A"	0.282819851202367	0.14669007326019	0	0	0.250683759057466	0.0815942507252754	0	0	0	0.11809740702676	0
"TCGA-05-4249-01A"	0.073185445227087	0	0.077315494772161	0.712055268966158	0	0	0	0	0	0	0
"TCGA-44-7661-01A"	0	0.0965401579450055	0	0.625500146404121	0	0	0	0	0	0	0
"TCGA-64-5778-01A"	0	0	0	0.743824567282939	0.106204934398329	0	0	0	0	0	0
"TCGA-75-7031-01A"	0.179412965322929	0.0812356272619861	0	0.455484461219013	0.0600102033035503	0	0	0	0	0.0600506592232309	0
"TCGA-73-4658-01A"	0	0.34568862113956	0	0.438867070494726	0	0	0	0	0	0	0
"TCGA-17-Z028-01A"	0	0.0611230196964649	0	0.667225012342071	0	0	0	0	0	0	0
"TCGA-J2-A4AD-01A"	0	0.348053894475528	0.248355686747172	0.0921870590628484	0	0.097332184969704	0	0	0	0	0.120493041578627
"TCGA-69-8255-01A"	0.0663472911362624	0.064753233122545	0	0.39326235821867	0.361106719552921	0	0	0	0	0	0
"TCGA-55-8505-01A"	0.0718353912656067	0.10064692188129	0.302689036826657	0	0.15591744627525	0.064891999059643	0.0813501162035108	0	0	0	0
"TCGA-95-7947-01A"	0	0.274036170004157	0.0906146722387635	0.244644810308644	0.117750421621423	0	0.0741293484856961	0	0	0	0
"TCGA-38-4628-01A"	0.19762956662858	0	0.360373450886468	0	0.146556379304959	0	0	0.0832314510903888	0	0	0
"TCGA-67-3770-01A"	0	0	0	0.666353393659806	0.0645481440841887	0.0875157303050423	0	0	0	0	0
"TCGA-55-7907-01A"	0	0.139555099247219	0	0.676986894849951	0	0	0	0	0	0	0
"TCGA-49-6743-01A"	0	0.232465404324803	0	0.481657169567808	0	0	0	0	0	0	0
"TCGA-75-6212-01A"	0.540997224465799	0	0	0	0	0.0953865253562724	0.0615953676897625	0	0.261876407303302	0	0
"TCGA-97-8177-01A"	0	0	0.226474252424174	0	0.483318194446153	0.196170756096485	0	0	0	0	0
"TCGA-55-8205-01A"	0	0.272331295866554	0	0.418437162004711	0	0	0	0	0	0	0
"TCGA-86-8672-01A"	0.0903224583276977	0.0687348637928137	0	0.679145252294539	0	0	0	0	0	0	0
"TCGA-55-8097-01A"	0.289745248930446	0	0	0.307134721672187	0	0	0	0	0	0	0
"TCGA-NJ-A4YP-01A"	0	0.573934240869978	0	0.115996648652887	0.0956835268567459	0	0	0	0	0	0
"TCGA-38-7271-01A"	0	0.36226487597901	0	0.211523930553205	0.318504974754052	0	0	0	0	0	0
"TCGA-86-8281-01A"	0	0.0782979323418452	0	0.560045660005733	0.0644947234768735	0.157871011046423	0	0	0	0	0
"TCGA-55-A494-01A"	0.199306135023156	0	0	0.469065888889794	0.221928754655213	0.0659999309864592	0	0	0	0	0
"TCGA-05-4422-01A"	0.141791434196609	0.237348030912324	0.15052224878681	0.0724345734425206	0.12254859673561	0	0.133382040124448	0.0895696132346051	0	0	0
"TCGA-55-7913-01B"	0	0	0	0.528145142124196	0.129228059784806	0.124438801369299	0	0	0	0	0
"TCGA-49-6745-01A"	0.187842155293891	0.437030637691385	0	0	0	0.174262607685906	0.126466984867659	0	0	0	0
"TCGA-50-8457-01A"	0.12603715257739	0	0	0.125380281437187	0.43176753619698	0.197512287962985	0.0641543049047722	0	0	0	0
"TCGA-97-8176-01A"	0.145733640019661	0.246356970955051	0	0.12428248682801	0.0963968049271206	0.136712111762177	0.0799817047491146	0	0	0	0.0889831073352996
"TCGA-73-4670-01A"	0	0	0	0.64655588332926	0	0.175968817406578	0.0811950055746516	0	0	0	0
